timestamp,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll
1.20000,-2.30211973,3.59787679,-0.00009150,-2.83527,3.78499,0.00090,12.39732647,-317.45751953,0.00126328,0.07259808,124.28347778,0.00942313
1.21000,-2.32886934,3.63640499,-0.00008158,-2.67496,3.85282,0.00099,12.37382793,-317.42129517,0.00126629,0.07196970,124.24021912,0.00897834
1.22000,-2.35444760,3.67539907,-0.00007915,-2.55783,3.89941,0.00024,12.35007763,-317.38470459,0.00126904,0.07136864,124.19767761,0.00859678
1.23000,-2.38247705,3.71260977,-0.00007283,-2.80294,3.72107,0.00063,12.32605648,-317.34771729,0.00127174,0.07076076,124.15721893,0.00806054
1.24000,-2.40902925,3.75051713,-0.00006819,-2.65522,3.79074,0.00046,12.30177593,-317.31033325,0.00127468,0.07018702,124.11806488,0.00754689
1.25000,-2.43448210,3.78889298,-0.00006303,-2.54529,3.83759,0.00052,12.27724457,-317.27258301,0.00127712,0.06962012,124.07971954,0.00711843
1.26000,-2.45910430,3.82758760,-0.00005337,-2.46222,3.86946,0.00097,12.25246906,-317.23443604,0.00128006,0.06906004,124.04180145,0.00679765
1.27000,-2.48308468,3.86649489,-0.00005158,-2.39804,3.89073,0.00018,12.22745705,-317.19586182,0.00128258,0.06852046,124.00409698,0.00659079
1.28000,-2.50991559,3.90344739,-0.00004435,-2.68309,3.69525,0.00072,12.20218372,-317.15695190,0.00128513,0.06799453,123.96811676,0.00623887
1.29000,-2.53556776,3.94097567,-0.00004213,-2.56522,3.75283,0.00022,12.17665863,-317.11767578,0.00128777,0.06748226,123.93322754,0.00589877
1.30000,-2.56033659,3.97889972,-0.00003963,-2.47688,3.79241,0.00025,12.15088940,-317.07800293,0.00129024,0.06699049,123.89904785,0.00562137
1.31000,-2.58442998,4.01709890,-0.00003755,-2.40934,3.81992,0.00021,12.12488174,-317.03793335,0.00129272,0.06651238,123.86528015,0.00542783
1.32000,-2.60799670,4.05548716,-0.00003436,-2.35667,3.83883,0.00032,12.09863949,-316.99749756,0.00129509,0.06604110,123.83168793,0.00532191
1.33000,-2.63343573,4.09257030,-0.00003346,-2.54390,3.70831,0.00009,12.07214832,-316.95669556,0.00129723,0.06559030,123.79931641,0.00512789
1.34000,-2.65802646,4.13005972,-0.00002983,-2.45907,3.74894,0.00036,12.04541492,-316.91546631,0.00129955,0.06516000,123.76773071,0.00495270
1.35000,-2.68197036,4.16783142,-0.00002587,-2.39439,3.77717,0.00040,12.01844311,-316.87393188,0.00130180,0.06474336,123.73661804,0.00482714
1.36000,-2.70541263,4.20580053,-0.00002339,-2.34423,3.79691,0.00025,11.99123955,-316.83197021,0.00130379,0.06433355,123.70575714,0.00476505
1.37000,-2.72874260,4.24422884,0.00705860,-2.33300,3.84283,0.70820,11.96380424,-316.78961182,0.00137726,0.06387593,123.67508698,0.00475638
1.38000,-2.75114441,4.28181124,0.00579567,-2.24018,3.75824,-0.12629,11.93614674,-316.74691772,0.00143772,0.06343880,123.64450073,0.00482629
1.40000,-2.80002165,4.35577202,0.00381624,-2.35658,3.65462,-0.09126,11.88010025,-316.66036987,0.00152771,0.06266698,123.58624268,0.00466838
1.41000,-2.82313251,4.39229155,0.00304509,-2.31109,3.65195,-0.07712,11.85173225,-316.61654663,0.00156021,0.06230498,123.55816650,0.00459960
1.42000,-2.84588671,4.43071938,0.00239468,-2.27542,3.84278,-0.06504,11.82313442,-316.57232666,0.00158630,0.06193615,123.52942657,0.00464543
1.43000,-2.84941745,4.43525457,0.00184451,-0.35307,0.45352,-0.05502,11.79451275,-316.52804565,0.00160995,0.06104140,123.50265503,0.00455125
1.44000,-2.85396814,4.44567108,0.00138073,-0.45507,1.04165,-0.04638,11.76584244,-316.48370361,0.00163208,0.05966853,123.47485352,0.00455764
1.45000,-2.83399224,4.40899086,0.00099284,1.99759,-3.66802,-0.03879,11.73738480,-316.43972778,0.00165546,0.05734627,123.44931030,0.00421197
1.46000,-2.84812117,4.43637371,0.00067214,-1.41289,2.73829,-0.03207,11.70878506,-316.39544678,0.00167416,0.05529721,123.42347717,0.00416957
1.47000,-2.83987856,4.41923094,0.00040555,0.82426,-1.71428,-0.02666,11.68027592,-316.35134888,0.00169216,0.05290664,123.39928436,0.00387569
1.48000,-2.83790612,4.45143795,0.00018609,0.19724,3.22070,-0.02195,11.65175533,-316.30694580,0.00170647,0.05079611,123.36712646,0.00507032
1.49000,-2.82528639,4.44312286,0.00000648,1.26197,-0.83151,-0.01796,11.62335300,-316.26263428,0.00172009,0.04848751,123.33349609,0.00614760
1.50000,-2.82792783,4.47929764,-0.00014122,-0.26414,3.61748,-0.01477,11.59489727,-316.21798706,0.00172977,0.04660238,123.29367828,0.00800574
1.51000,-2.81877828,4.47161818,-0.00025789,0.91496,-0.76795,-0.01167,11.56652927,-316.17340088,0.00173920,0.04453966,123.25357056,0.00924227
1.52000,-2.82528567,4.51027489,-0.00034994,-0.65074,3.86567,-0.00920,11.53807068,-316.12844849,0.00174496,0.04295506,123.20829773,0.01099812
1.53000,-2.81970763,4.50546217,-0.00042053,0.55780,-0.48127,-0.00706,11.50966930,-316.08355713,0.00175083,0.04124068,123.16376495,0.01201305
1.54000,-2.84157896,4.53922796,-0.00047461,-2.18713,3.37658,-0.00541,11.48105240,-316.03829956,0.00175327,0.04003173,123.12130737,0.01241935
1.55000,-2.84498262,4.53267860,-0.00051478,-0.34037,-0.65494,-0.00402,11.45241642,-315.99310303,0.00175613,0.03865887,123.08309174,0.01195735
1.56000,-2.86671376,4.57051277,-0.00054244,-2.17311,3.78342,-0.00277,11.42356682,-315.94754028,0.00175560,0.03779826,123.04544067,0.01163905
1.57000,-2.87011099,4.56780577,-0.00055550,-0.33972,-0.27070,-0.00131,11.39469624,-315.90197754,0.00175613,0.03676008,123.01101685,0.01090684
1.58000,-2.89930773,4.60431767,-0.00056570,-2.91967,3.65119,-0.00102,11.36554909,-315.85601807,0.00175373,0.03622049,122.98049927,0.00991807
1.59000,-2.90717316,4.60239697,-0.00056993,-0.78654,-0.19207,-0.00042,11.33634281,-315.81011963,0.00175255,0.03546917,122.95417786,0.00856316
1.60000,-2.93556762,4.64260101,-0.00057045,-2.83945,4.02040,-0.00005,11.30685997,-315.76376343,0.00174816,0.03520962,122.92962646,0.00743724
1.61000,-2.94247389,4.64394999,-0.00055587,-0.69063,0.13490,0.00146,11.27732372,-315.71740723,0.00174564,0.03471102,122.90821075,0.00623740
1.62000,-2.97072339,4.68705893,-0.00055026,-2.82495,4.31089,0.00056,11.24751472,-315.67059326,0.00174038,0.03469053,122.88818359,0.00536943
1.63000,-2.97750473,4.69137859,-0.00053569,-0.67813,0.43197,0.00146,11.21764469,-315.62374878,0.00173656,0.03441049,122.87012482,0.00449221
1.65000,-3.01779652,4.74017429,-0.00050169,-0.87883,0.53902,0.00165,11.15721512,-315.52908325,0.00172596,0.03447196,122.83957672,0.00275325
1.66000,-3.04901290,4.78593159,-0.00047999,-3.12164,4.57573,0.00217,11.12666035,-315.48129272,0.00171932,0.03478615,122.82747650,0.00204412
1.67000,-3.05741930,4.79362488,-0.00046101,-0.84064,0.76933,0.00190,11.09602833,-315.43338013,0.00171455,0.03482030,122.81662750,0.00135942
1.68000,-3.08752322,4.84188986,-0.00044181,-3.01039,4.82650,0.00192,11.06509113,-315.38500977,0.00170753,0.03526426,122.80485535,0.00098390
1.69000,-3.09527278,4.85187101,-0.00042190,-0.77496,0.99812,0.00199,11.03408432,-315.33651733,0.00170238,0.03540770,122.79433441,0.00065301
1.70000,-3.12580895,4.90153313,-0.00039679,-3.05362,4.96621,0.00251,11.00277710,-315.28753662,0.00169544,0.03594045,122.78501892,0.00052742
1.71000,-3.13388968,4.91289139,-0.00038210,-0.80807,1.13583,0.00147,10.97138977,-315.23843384,0.00169010,0.03616585,122.77561951,0.00039366
1.72000,-3.16489363,4.96362305,-0.00035843,-3.10040,5.07317,0.00237,10.93968105,-315.18884277,0.00168316,0.03677374,122.76402283,0.00041249
1.73000,-3.17259169,4.97661829,-0.00034350,-0.76981,1.29952,0.00149,10.90790272,-315.13909912,0.00167782,0.03705378,122.75344849,0.00045550
1.74000,-3.20304704,5.02918625,-0.00032044,-3.04554,5.25680,0.00231,10.87582874,-315.08883667,0.00167095,0.03771630,122.74485779,0.00067685
1.75000,-3.21125484,5.04301357,-0.00030675,-0.82078,1.38273,0.00137,10.84366703,-315.03842163,0.00166599,0.03803732,122.73502350,0.00084350
1.76000,-3.24249864,5.09641027,-0.00028893,-3.12438,5.33967,0.00178,10.81116962,-314.98751831,0.00165901,0.03873400,122.72051239,0.00113153
1.77000,-3.25141406,5.11071110,-0.00027177,-0.89154,1.43008,0.00172,10.77859306,-314.93643188,0.00165417,0.03908234,122.70829010,0.00129782
1.78000,-3.28340721,5.16577578,-0.00025522,-3.19932,5.50647,0.00165,10.74572277,-314.88479614,0.00164738,0.03980634,122.70098114,0.00157080
1.79000,-3.29225755,5.18071699,-0.00024126,-0.88503,1.49412,0.00140,10.71275043,-314.83300781,0.00164276,0.04018200,122.69100952,0.00175782
1.80000,-3.32562804,5.23736668,-0.00022460,-3.33705,5.66497,0.00167,10.67940140,-314.78067017,0.00163597,0.04094698,122.67270660,0.00204602
1.81000,-3.33459735,5.25157833,-0.00021032,-0.89693,1.42117,0.00143,10.64598751,-314.72821045,0.00163177,0.04132264,122.65909576,0.00218170
1.82000,-3.37195325,5.31521511,-0.00019779,-3.73559,6.36368,0.00125,10.61225796,-314.67504883,0.00162453,0.04220374,122.65743256,0.00240500
1.83000,-3.36578298,5.33259439,-0.00018436,0.61703,1.73793,0.00134,10.57852745,-314.62179565,0.00162064,0.04255890,122.64136505,0.00360012
1.84000,-3.38443661,5.42196178,-0.00017449,-1.86536,8.93674,0.00099,10.54446602,-314.56768799,0.00161270,0.04361076,122.59434509,0.00673340
1.85000,-3.35690451,5.42455053,-0.00016300,2.75321,0.25887,0.00115,10.51073360,-314.51358032,0.00161079,0.04365857,122.55682373,0.01029831
1.86000,-3.40140152,5.55144596,-0.00015353,-4.44970,12.68954,0.00095,10.47653675,-314.45816040,0.00160000,0.04524317,122.51590729,0.01454154
1.87000,-3.39326286,5.57562017,-0.00014616,0.81387,2.41742,0.00074,10.44233704,-314.40255737,0.00159328,0.04615841,122.45801544,0.01835340
1.88000,-3.42188859,5.62269783,-0.00013661,-2.86257,4.70777,0.00095,10.40785980,-314.34646606,0.00158653,0.04704634,122.40385437,0.02040702
1.90000,-3.45767808,5.67616796,-0.00011912,-2.80960,5.13096,0.00054,10.33851814,-314.23376465,0.00158016,0.04769521,122.30870819,0.02104309
1.91000,-3.47323966,5.69589996,-0.00010740,-1.55616,1.97320,0.00117,10.30354500,-314.17697144,0.00157822,0.04788645,122.26084137,0.02057527
1.92000,-3.50162220,5.75095749,-0.00010447,-2.83825,5.50575,0.00029,10.26829529,-314.11959839,0.00157448,0.04833042,122.21482086,0.02030811
1.93000,-3.52264237,5.75770807,-0.00009681,-2.10202,0.67506,0.00077,10.23288536,-314.06213379,0.00157299,0.04841238,122.17961884,0.01870206
1.94000,-3.56068087,5.80356932,-0.00008740,-3.80385,4.58612,0.00094,10.19710922,-314.00421143,0.00157036,0.04872657,122.14811707,0.01680615
1.95000,-3.57983661,5.81657839,-0.00008430,-1.91557,1.30091,0.00031,10.16115189,-313.94613647,0.00156933,0.04875389,122.11870575,0.01466119
